chr	from	to
14	92684316	93319809
14	94271364	97912092
14	98678319	99268076
14	101492036	102762177
15	55148	699775
15	4983105	6507056
15	18082415	18611878
15	19213282	19749842
15	21166651	23800432
15	27685296	28377512
15	29379686	32598575
15	34621890	38906451
15	49871175	51289340
15	52842930	53442522
15	65473107	65775763
15	107161884	108616420
16	49950	1602923
16	12171109	13094260
16	13094892	13405972
16	15273073	15837478
16	19959702	20271634
16	21755535	22753315
16	29817113	32530042
16	37771256	40143368
16	56129640	56997251
16	64906004	65316276
16	66324204	66735693
16	68645712	68962106
16	75003578	75622676
16	75622700	76059957
17	65659	1799288
17	2928381	4901833
17	11794249	12432019
17	12605101	12931609
17	14374096	15963509
17	31663251	32770638
17	38511069	38933701
17	39712325	40495389
17	41590265	42398455
17	42829450	43794333
17	44198978	45446260
17	45446261	46809716
17	47826723	49787934
17	54583735	55221820
17	57702990	58331985
17	62872641	64014360
17	69716388	70151804
17	71892459	72472708
17	86855748	87198613
17	89394291	90302222
18	447384	1214178
18	25419903	26056367
18	29898202	30397814
18	30744094	31349159
18	38447465	39131941
18	42072947	42881614
18	55607789	55854254
18	61747847	61914467
18	70395068	70773197
19	149497	1241375
19	15078908	15615129
19	26298648	29826880
19	36099591	37033405
19	37033440	37814045
